# Glyph placement metrics — values normalized to the 0..1 SVG viewBox
#
# All SVGs share the same baseline_y.  To place glyph B directly after
# glyph A, offset B horizontally by A's advance_w (scaled to your tile size).
# To align descenders/ascenders visually, use ink_top / ink_bottom.
#
char    baseline_y   ink_top   ink_bottom   ink_left  ink_right  ink_width  advance_w
u           1.0000    0.1970       0.6761     0.1619     0.8381     0.6761     0.7761
v           1.0000    0.1970       0.6761     0.1619     0.8381     0.6761     0.7761
w           1.0000    0.1970       0.6761     0.1619     0.8381     0.6761     0.7761
x           1.0000    0.1970       0.6761     0.1619     0.8381     0.6761     0.7761
y           1.0000    0.1970       0.8746     0.1619     0.8381     0.6761     0.7761
z           1.0000    0.1970       0.6761     0.1619     0.8381     0.6761     0.7761
‐           1.0000    0.2955       0.3791     0.2604     0.7396     0.4791     0.5925

# Missing mapped glyphs (present in cmap but not exportable):
       (U+0020)
