# Glyph placement metrics — values normalized to the 0..1 SVG viewBox
#
# All SVGs share the same baseline_y.  To place glyph B directly after
# glyph A, offset B horizontally by A's advance_w (scaled to your tile size).
# To align descenders/ascenders visually, use ink_top / ink_bottom.
#
char    baseline_y   ink_top   ink_bottom   ink_left  ink_right  ink_width  advance_w
r           0.8148    0.3293       0.8148     0.3749     0.6251     0.2503     0.2882
s           0.8148    0.3302       0.8148     0.2844     0.7156     0.4312     0.4674
t           0.8148    0.1819       0.8197     0.3506     0.6494     0.2988     0.3346
u           0.8148    0.3293       0.8148     0.2703     0.7297     0.4595     0.5058
v           0.8148    0.3302       0.8153     0.2625     0.7375     0.4749     0.4877
w           0.8148    0.3302       0.8153     0.1100     0.8900     0.7800     0.7941
x           0.8148    0.3293       0.8148     0.2786     0.7214     0.4427     0.4569
y           0.8148    0.3302       0.9971     0.2625     0.7375     0.4749     0.4895
z           0.8148    0.3293       0.8153     0.2795     0.7205     0.4410     0.4701
{           0.8148    0.0795       0.9344     0.2899     0.7101     0.4202     0.4648
|           0.8148    0.1518       0.8594     0.4281     0.5719     0.1439     0.1761
}           0.8148    0.0795       0.9344     0.2914     0.7086     0.4171     0.4635
~           0.8148    0.4573       0.5434     0.3415     0.6585     0.3169     0.3465
¡           0.8148    0.1805       0.8148     0.4281     0.5719     0.1439     0.1761
¢           0.8148    0.0415       0.9530     0.2091     0.7909     0.5818     0.6197
£           0.8148    0.1835       0.8131     0.2625     0.7375     0.4749     0.5160
¦           0.8148    0.1518       0.8594     0.4281     0.5719     0.1439     0.1885
§           0.8148    0.1077       0.9852     0.2451     0.7549     0.5098     0.5566
¨           0.8148    0.0980       0.1810     0.3908     0.6092     0.2185     0.2547
©           0.8148    0.1721       0.8228     0.1747     0.8253     0.6506     0.6979
U+00AD      0.8148    0.4242       0.5407     0.3517     0.6483     0.2966     0.3421
®           0.8148    0.1721       0.8228     0.1747     0.8253     0.6506     0.6979
±           0.8148    0.2454       0.6956     0.3314     0.6686     0.3372     0.3827
´           0.8148    0.0649       0.1814     0.4320     0.5680     0.1360     0.1642
¶           0.8148    0.1801       0.8162     0.1654     0.8346     0.6692     0.7142
·           0.8148    0.4626       0.5791     0.4281     0.5719     0.1439     0.1761
¸           0.8148    0.8148       0.9587     0.4287     0.5713     0.1426     0.1660
¿           0.8148    0.1814       0.8188     0.2586     0.7414     0.4829     0.5270
À           0.8148    0.0022       0.8148     0.2142     0.7858     0.5716     0.5999
Á           0.8148    0.0022       0.8148     0.2142     0.7858     0.5716     0.5999
Â           0.8148    0.0026       0.8148     0.2142     0.7858     0.5716     0.5999
Ã           0.8148    0.0539       0.8148     0.2142     0.7858     0.5716     0.5999
Ä           0.8148    0.0309       0.8148     0.2142     0.7858     0.5716     0.5999
Å           0.8148    0.0018       0.8148     0.2142     0.7858     0.5716     0.5999
Æ           0.8148    0.1814       0.8157     0.1336     0.8664     0.7327     0.7804
Ç           0.8148    0.1801       0.9587     0.2091     0.7909     0.5818     0.6184
È           0.8148    0.0022       0.8148     0.2667     0.7333     0.4666     0.5094
É           0.8148    0.0022       0.8148     0.2667     0.7333     0.4666     0.5094
Ê           0.8148    0.0026       0.8148     0.2667     0.7333     0.4666     0.5094
Ë           0.8148    0.0309       0.8148     0.2667     0.7333     0.4666     0.5094
Ì           0.8148    0.0022       0.8148     0.4077     0.5923     0.1845     0.1885
Í           0.8148    0.0022       0.8148     0.4100     0.5900     0.1801     0.1885
Î           0.8148    0.0026       0.8148     0.3808     0.6192     0.2384     0.1885
Ï           0.8148    0.0353       0.8148     0.3908     0.6092     0.2185     0.1885
Ð           0.8148    0.1788       0.8148     0.2089     0.7911     0.5822     0.6215
Ñ           0.8148    0.0583       0.8148     0.2420     0.7580     0.5160     0.5619
Ò           0.8148    0.0022       0.8148     0.1974     0.8026     0.6052     0.6493
Ó           0.8148    0.0022       0.8148     0.1974     0.8026     0.6052     0.6493
Ô           0.8148    0.0026       0.8148     0.1974     0.8026     0.6052     0.6493
Õ           0.8148    0.0539       0.8148     0.1974     0.8026     0.6052     0.6493
Ö           0.8148    0.0353       0.8148     0.1974     0.8026     0.6052     0.6493
×           0.8148    0.3355       0.6740     0.3179     0.6821     0.3642     0.4056
Ø           0.8148    0.1792       0.8157     0.1959     0.8041     0.6083     0.6493
Ù           0.8148    0.0022       0.8163     0.2645     0.7355     0.4710     0.5173
Ú           0.8148    0.0022       0.8163     0.2645     0.7355     0.4710     0.5173
Û           0.8148    0.0026       0.8163     0.2645     0.7355     0.4710     0.5173
Ü           0.8148    0.0353       0.8163     0.2645     0.7355     0.4710     0.5173
Ý           0.8148    0.0022       0.8135     0.2358     0.7642     0.5284     0.5725
Þ           0.8148    0.1788       0.8148     0.2530     0.7470     0.4939     0.5151
ß           0.8148    0.1788       0.8148     0.2696     0.7304     0.4608     0.4825
à           0.8148    0.1532       0.8197     0.2782     0.7218     0.4436     0.4935
á           0.8148    0.1532       0.8197     0.2782     0.7218     0.4436     0.4935
â           0.8148    0.1536       0.8197     0.2782     0.7218     0.4436     0.4935
ã           0.8148    0.2092       0.8197     0.2782     0.7218     0.4436     0.4935
ä           0.8148    0.1863       0.8197     0.2782     0.7218     0.4436     0.4935
å           0.8148    0.1262       0.8197     0.2782     0.7218     0.4436     0.4935
æ           0.8148    0.3297       0.8197     0.1238     0.8762     0.7524     0.7919
ç           0.8148    0.3297       0.9305     0.3007     0.6993     0.3986     0.4330
è           0.8148    0.1532       0.8162     0.2725     0.7275     0.4549     0.5129
é           0.8148    0.1532       0.8162     0.2725     0.7275     0.4549     0.5129
ê           0.8148    0.1536       0.8162     0.2725     0.7275     0.4549     0.5129
ë           0.8148    0.1863       0.8162     0.2725     0.7275     0.4549     0.5129
ì           0.8148    0.1532       0.8148     0.4188     0.5812     0.1624     0.1774
í           0.8148    0.1532       0.8148     0.4188     0.5812     0.1624     0.1748
î           0.8148    0.1536       0.8148     0.3808     0.6192     0.2384     0.1774
ï           0.8148    0.1863       0.8148     0.3908     0.6092     0.2185     0.1774
ð           0.8148    0.1819       0.8188     0.2497     0.7503     0.5005     0.5341
ñ           0.8148    0.2092       0.8148     0.2703     0.7297     0.4595     0.5058
ò           0.8148    0.1532       0.8162     0.2698     0.7302     0.4604     0.5129
ó           0.8148    0.1532       0.8162     0.2698     0.7302     0.4604     0.5129
ô           0.8148    0.1536       0.8162     0.2698     0.7302     0.4604     0.5129
õ           0.8148    0.2092       0.8162     0.2698     0.7302     0.4604     0.5129
ö           0.8148    0.1863       0.8162     0.2698     0.7302     0.4604     0.5129
÷           0.8148    0.2556       0.7089     0.3517     0.6483     0.2966     0.3434
ø           0.8148    0.3297       0.8162     0.2694     0.7306     0.4613     0.5129
ù           0.8148    0.1532       0.8148     0.2703     0.7297     0.4595     0.5058
ú           0.8148    0.1532       0.8148     0.2703     0.7297     0.4595     0.5058
û           0.8148    0.1536       0.8148     0.2703     0.7297     0.4595     0.5058
ü           0.8148    0.1863       0.8148     0.2703     0.7297     0.4595     0.5058
ý           0.8148    0.1532       0.9971     0.2625     0.7375     0.4749     0.4895
þ           0.8148    0.1805       0.9658     0.2597     0.7403     0.4807     0.5217
ÿ           0.8148    0.1863       0.9971     0.2625     0.7375     0.4749     0.4895
Ă           0.8148    0.0463       0.8148     0.2142     0.7858     0.5716     0.5999
ă           0.8148    0.1973       0.8197     0.2782     0.7218     0.4436     0.4935
Ą           0.8148    0.1819       0.9291     0.2142     0.7858     0.5716     0.5999
ą           0.8148    0.3309       0.9291     0.2782     0.7218     0.4436     0.4935
Ć           0.8148    0.0022       0.8148     0.2091     0.7909     0.5818     0.6184
ć           0.8148    0.1532       0.8162     0.3007     0.6993     0.3986     0.4330
Ĉ           0.8148    0.0026       0.8148     0.2091     0.7909     0.5818     0.6184
ĉ           0.8148    0.1536       0.8162     0.3007     0.6993     0.3986     0.4330
Ċ           0.8148    0.0353       0.8148     0.2091     0.7909     0.5818     0.6184
ċ           0.8148    0.1863       0.8162     0.3007     0.6993     0.3986     0.4330
Č           0.8148    0.0026       0.8148     0.2091     0.7909     0.5818     0.6184
č           0.8148    0.1536       0.8162     0.3007     0.6993     0.3986     0.4330
Ď           0.8148    0.0026       0.8148     0.2530     0.7470     0.4939     0.5403
ď           0.8148    0.0230       0.8157     0.1840     0.8160     0.6321     0.6467
Đ           0.8148    0.1788       0.8148     0.2089     0.7911     0.5822     0.6215
đ           0.8148    0.1805       0.8157     0.2215     0.7785     0.5570     0.5721
Ĕ           0.8148    0.0463       0.8148     0.2667     0.7333     0.4666     0.5094
ĕ           0.8148    0.1973       0.8162     0.2725     0.7275     0.4549     0.5129
Ė           0.8148    0.0353       0.8148     0.2667     0.7333     0.4666     0.5094
ė           0.8148    0.1863       0.8162     0.2725     0.7275     0.4549     0.5129
