# Glyph placement metrics — values normalized to the 0..1 SVG viewBox
#
# All SVGs share the same baseline_y.  To place glyph B directly after
# glyph A, offset B horizontally by A's advance_w (scaled to your tile size).
# To align descenders/ascenders visually, use ink_top / ink_bottom.
#
char    baseline_y   ink_top   ink_bottom   ink_left  ink_right  ink_width  advance_w
r           0.8113    0.1892       0.8473     0.2208     0.7792     0.5583     0.4037
s           0.8113    0.1479       0.8113     0.2328     0.7672     0.5343     0.4124
t           0.8113    0.1128       0.9069     0.2379     0.7621     0.5242     0.4513
u           0.8113    0.1234       0.8113     0.1858     0.8142     0.6284     0.4983
v           0.8113    0.1680       0.8113     0.2031     0.7969     0.5939     0.4575
w           0.8113    0.1143       0.8113     0.1479     0.8521     0.7043     0.6015
x           0.8113    0.1791       0.8113     0.2364     0.7636     0.5271     0.4801
y           0.8113    0.2021       0.8113     0.2336     0.7664     0.5329     0.4801
z           0.8113    0.0000       0.9006     0.2211     0.7789     0.5578     0.4902
{           0.8113    0.2026       0.8113     0.3829     0.6171     0.2343     0.2516
|           0.8113    0.1392       1.0000     0.4827     0.5173     0.0346     0.2400
}           0.8113    0.2026       0.8113     0.3829     0.6171     0.2343     0.2516
~           0.8113    0.3567       0.4373     0.3406     0.6594     0.3188     0.3841
¡           0.8113    0.2026       0.8113     0.4738     0.5262     0.0523     0.1440
U+00AD      0.8113    0.5233       0.5559     0.3224     0.6776     0.3553     0.4090
°           0.8113    0.2026       0.3951     0.4124     0.5876     0.1752     0.3361
´           0.8113    0.2026       0.2832     0.4522     0.5478     0.0955     0.4916
¿           0.8113    0.2031       0.8113     0.2998     0.7002     0.4004     0.4321
À           0.8113    0.0907       0.8445     0.0651     0.9349     0.8699     0.4623
Á           0.8113    0.0907       0.8445     0.0651     0.9349     0.8699     0.4623
Ä           0.8113    0.1176       0.8445     0.0651     0.9349     0.8699     0.4801
È           0.8113    0.0907       0.8593     0.2400     0.7600     0.5199     0.3178
É           0.8113    0.0907       0.8593     0.2400     0.7600     0.5199     0.3178
Ë           0.8113    0.1176       0.8593     0.2400     0.7600     0.5199     0.3178
Ì           0.8113    0.0907       0.8632     0.2861     0.7139     0.4277     0.1920
Í           0.8113    0.0907       0.8632     0.2861     0.7139     0.4277     0.1920
Ï           0.8113    0.1176       0.8632     0.2861     0.7139     0.4277     0.1920
Ñ           0.8113    0.0912       0.8310     0.1378     0.8622     0.7244     0.4556
Ò           0.8113    0.0907       0.8425     0.1964     0.8036     0.6073     0.4801
Ó           0.8113    0.0907       0.8425     0.1964     0.8036     0.6073     0.4801
Ö           0.8113    0.1176       0.8425     0.1964     0.8036     0.6073     0.4801
Ù           0.8113    0.0907       0.8113     0.1858     0.8142     0.6284     0.4983
Ú           0.8113    0.0907       0.8113     0.1858     0.8142     0.6284     0.4983
Ü           0.8113    0.1176       0.8113     0.1858     0.8142     0.6284     0.4983
à           0.8113    0.0907       0.8445     0.0651     0.9349     0.8699     0.4623
á           0.8113    0.0907       0.8445     0.0651     0.9349     0.8699     0.4623
ä           0.8113    0.1176       0.8445     0.0651     0.9349     0.8699     0.4801
è           0.8113    0.0907       0.8593     0.2400     0.7600     0.5199     0.3178
é           0.8113    0.0907       0.8593     0.2400     0.7600     0.5199     0.3178
ë           0.8113    0.1176       0.8593     0.2400     0.7600     0.5199     0.3178
ì           0.8113    0.0907       0.8632     0.2861     0.7139     0.4277     0.1920
í           0.8113    0.0907       0.8632     0.2861     0.7139     0.4277     0.1920
ï           0.8113    0.1176       0.8632     0.2861     0.7139     0.4277     0.1920
ñ           0.8113    0.0912       0.8310     0.1378     0.8622     0.7244     0.4556
ò           0.8113    0.0907       0.8425     0.1964     0.8036     0.6073     0.4801
ó           0.8113    0.0907       0.8425     0.1964     0.8036     0.6073     0.4801
ö           0.8113    0.1176       0.8425     0.1964     0.8036     0.6073     0.4801
ù           0.8113    0.0907       0.8113     0.1858     0.8142     0.6284     0.4983
ú           0.8113    0.0907       0.8113     0.1858     0.8142     0.6284     0.4983
ü           0.8113    0.1176       0.8113     0.1858     0.8142     0.6284     0.4983
;           0.8113    0.3793       0.8675     0.4734     0.5266     0.0533     0.0960
–           0.8113    0.5233       0.5559     0.3224     0.6776     0.3553     0.4321
—           0.8113    0.5233       0.5559     0.2021     0.7979     0.5958     0.6721
№           0.8113    0.2026       0.8113     0.0919     0.9081     0.8161     0.8641
™           0.8113    0.2026       0.4676     0.2708     0.7292     0.4585     0.5761

# Missing mapped glyphs (present in cmap but not exportable):
  \x00  (U+0000)
  \x1d  (U+001D)
       (U+0020)
  \xa0  (U+00A0)
  ·    (U+00B7)
  ∙    (U+2219)
  \uf001  (U+F001)
  \uf002  (U+F002)
  ﬁ    (U+FB01)
  ﬂ    (U+FB02)
