# Glyph placement metrics — values normalized to the 0..1 SVG viewBox
#
# All SVGs share the same baseline_y.  To place glyph B directly after
# glyph A, offset B horizontally by A's advance_w (scaled to your tile size).
# To align descenders/ascenders visually, use ink_top / ink_bottom.
#
char    baseline_y   ink_top   ink_bottom   ink_left  ink_right  ink_width  advance_w
r           0.6552    0.2958       0.7659     0.3686     0.6314     0.2627     0.2366
s           0.6552    0.2958       0.7653     0.3337     0.6663     0.3327     0.3066
t           0.6552    0.2201       0.7659     0.3216     0.6784     0.3569     0.3327
u           0.6552    0.2958       0.7659     0.3216     0.6784     0.3569     0.3365
v           0.6552    0.2952       0.7729     0.3232     0.6768     0.3537     0.3187
w           0.6552    0.2945       0.7646     0.2325     0.7675     0.5350     0.5140
x           0.6552    0.2958       0.7659     0.3216     0.6784     0.3569     0.3352
y           0.6552    0.2958       0.9059     0.3216     0.6784     0.3569     0.3352
z           0.6552    0.2958       0.7659     0.3136     0.6864     0.3728     0.3410
{           0.6552    0.0935       0.8931     0.3546     0.6454     0.2907     0.2424
|           0.6552    0.1018       0.8295     0.4157     0.5843     0.1686     0.1469
}           0.6552    0.0935       0.8931     0.3543     0.6457     0.2913     0.2424
~           0.6552    0.1660       0.4224     0.3492     0.6508     0.3015     0.2793
§           0.6552    0.1654       0.7659     0.2678     0.7322     0.4644     0.4427

# Missing ASCII glyphs (not available in this font):
       (U+0020)
