# Glyph placement metrics — values normalized to the 0..1 SVG viewBox
#
# All SVGs share the same baseline_y.  To place glyph B directly after
# glyph A, offset B horizontally by A's advance_w (scaled to your tile size).
# To align descenders/ascenders visually, use ink_top / ink_bottom.
#
char    baseline_y   ink_top   ink_bottom   ink_left  ink_right  ink_width  advance_w
´           0.8382    0.0000       0.1554     0.4148     0.5852     0.1704     0.2700
¸           0.8382    0.8156       0.9982     0.4291     0.5709     0.1418     0.3620
»           0.8382    0.3231       0.6951     0.3228     0.6772     0.3543     0.4309
¿           0.8382    0.2225       0.8369     0.2952     0.7048     0.4096     0.4617
À           0.8382    0.0000       0.8546     0.2102     0.7898     0.5795     0.5918
Á           0.8382    0.0000       0.8546     0.2102     0.7898     0.5795     0.5918
Â           0.8382    0.0000       0.8546     0.2102     0.7898     0.5795     0.5918
Ã           0.8382    0.0068       0.8546     0.2102     0.7898     0.5795     0.5918
Ä           0.8382    0.0245       0.8546     0.2102     0.7898     0.5795     0.5918
Æ           0.8382    0.1767       0.8505     0.1738     0.8262     0.6525     0.6670
Ç           0.8382    0.2234       0.9982     0.2412     0.7588     0.5175     0.5650
È           0.8382    0.0000       0.8777     0.2531     0.7469     0.4939     0.5270
É           0.8382    0.0000       0.8777     0.2531     0.7469     0.4939     0.5270
Ê           0.8382    0.0000       0.8777     0.2531     0.7469     0.4939     0.5270
Ë           0.8382    0.0240       0.8777     0.2531     0.7469     0.4939     0.5270
Ì           0.8382    0.0000       0.8378     0.4048     0.5952     0.1903     0.2071
Í           0.8382    0.0000       0.8378     0.4001     0.5999     0.1998     0.2071
Î           0.8382    0.0000       0.8378     0.4144     0.5856     0.1713     0.2071
Ï           0.8382    0.0245       0.8378     0.3663     0.6337     0.2673     0.2071
Ñ           0.8382    0.0072       0.8412     0.2511     0.7489     0.4978     0.5460
Ò           0.8382    0.0000       0.8370     0.2401     0.7599     0.5199     0.5650
Ó           0.8382    0.0000       0.8370     0.2401     0.7599     0.5199     0.5650
Ô           0.8382    0.0000       0.8370     0.2401     0.7599     0.5199     0.5650
Õ           0.8382    0.0072       0.8370     0.2401     0.7599     0.5199     0.5650
Ö           0.8382    0.0240       0.8370     0.2401     0.7599     0.5199     0.5650
Ù           0.8382    0.0000       0.8492     0.2407     0.7593     0.5186     0.5632
Ú           0.8382    0.0000       0.8492     0.2407     0.7593     0.5186     0.5632
Û           0.8382    0.0000       0.8492     0.2407     0.7593     0.5186     0.5632
Ü           0.8382    0.0245       0.8492     0.2407     0.7593     0.5186     0.5632
ß           0.8382    0.2207       0.8548     0.2650     0.7350     0.4700     0.5242
à           0.8382    0.0000       0.8546     0.2102     0.7898     0.5795     0.5918
á           0.8382    0.0000       0.8546     0.2102     0.7898     0.5795     0.5918
â           0.8382    0.0000       0.8546     0.2102     0.7898     0.5795     0.5918
ã           0.8382    0.0068       0.8546     0.2102     0.7898     0.5795     0.5918
ä           0.8382    0.0245       0.8546     0.2102     0.7898     0.5795     0.5918
æ           0.8382    0.1767       0.8505     0.1738     0.8262     0.6525     0.6670
ç           0.8382    0.2234       0.9982     0.2412     0.7588     0.5175     0.5650
è           0.8382    0.0000       0.8777     0.2531     0.7469     0.4939     0.5270
é           0.8382    0.0000       0.8777     0.2531     0.7469     0.4939     0.5270
ê           0.8382    0.0000       0.8777     0.2531     0.7469     0.4939     0.5270
ë           0.8382    0.0245       0.8777     0.2531     0.7469     0.4939     0.5270
ì           0.8382    0.0000       0.8378     0.4048     0.5952     0.1903     0.2071
í           0.8382    0.0000       0.8378     0.3999     0.6001     0.2003     0.2071
î           0.8382    0.0000       0.8378     0.4143     0.5857     0.1715     0.2071
ï           0.8382    0.0245       0.8378     0.3663     0.6337     0.2673     0.2071
ñ           0.8382    0.0068       0.8412     0.2511     0.7489     0.4978     0.5460
ò           0.8382    0.0000       0.8370     0.2401     0.7599     0.5199     0.5650
ó           0.8382    0.0000       0.8370     0.2401     0.7599     0.5199     0.5650
ô           0.8382    0.0000       0.8370     0.2401     0.7599     0.5199     0.5650
õ           0.8382    0.0068       0.8370     0.2401     0.7599     0.5199     0.5650
ö           0.8382    0.0245       0.8370     0.2401     0.7599     0.5199     0.5650
ù           0.8382    0.0000       0.8492     0.2407     0.7593     0.5186     0.5632
ú           0.8382    0.0000       0.8492     0.2407     0.7593     0.5186     0.5632
û           0.8382    0.0000       0.8492     0.2407     0.7593     0.5186     0.5632
ü           0.8382    0.0245       0.8492     0.2407     0.7593     0.5186     0.5632
ı           0.8382    0.2188       0.8378     0.4314     0.5686     0.1373     0.2071
Œ           0.8382    0.2207       0.8382     0.2037     0.7963     0.5927     0.6343
œ           0.8382    0.2207       0.8382     0.2037     0.7963     0.5927     0.6343
ˆ           0.8382    0.0000       0.1554     0.3928     0.6072     0.2143     0.3181
˜           0.8382    0.0068       0.1550     0.3376     0.6624     0.3249     0.3312
;           0.8382    0.4291       0.8636     0.4060     0.5940     0.1880     0.2932
‘           0.8382    0.2043       0.3888     0.4522     0.5478     0.0956     0.1599
’           0.8382    0.2043       0.3888     0.4522     0.5478     0.0956     0.1599
“           0.8382    0.2043       0.3888     0.3942     0.6058     0.2116     0.2710
”           0.8382    0.2043       0.3888     0.3942     0.6058     0.2116     0.2710
€           0.8382    0.2261       0.8373     0.2784     0.7216     0.4431     0.5247

# Missing mapped glyphs (present in cmap but not exportable):
       (U+0020)
  #    (U+0023)
  %    (U+0025)
  *    (U+002A)
  +    (U+002B)
  <    (U+003C)
  =    (U+003D)
  >    (U+003E)
  @    (U+0040)
  [    (U+005B)
  \\   (U+005C)
  ]    (U+005D)
  ^    (U+005E)
  _    (U+005F)
  {    (U+007B)
  |    (U+007C)
  }    (U+007D)
  ~    (U+007E)
  \xa0  (U+00A0)
  ¢    (U+00A2)
