# Glyph placement metrics — values normalized to the 0..1 SVG viewBox
#
# All SVGs share the same baseline_y.  To place glyph B directly after
# glyph A, offset B horizontally by A's advance_w (scaled to your tile size).
# To align descenders/ascenders visually, use ink_top / ink_bottom.
#
char    baseline_y   ink_top   ink_bottom   ink_left  ink_right  ink_width  advance_w
d           0.7996    0.0982       0.8016     0.2448     0.7552     0.5105     0.5773
e           0.7996    0.3011       0.8006     0.3081     0.6919     0.3838     0.4457
f           0.7996    0.1017       0.8008     0.2830     0.7170     0.4340     0.4187
g           0.7996    0.3011       1.0000     0.2198     0.7802     0.5603     0.5793
h           0.7996    0.1505       0.8006     0.2632     0.7368     0.4736     0.5673
i           0.7996    0.1476       0.7996     0.3829     0.6171     0.2343     0.2632
j           0.7996    0.1456       0.9488     0.3983     0.6017     0.2034     0.2622
k           0.7996    0.1505       0.7996     0.2645     0.7355     0.4710     0.5374
l           0.7996    0.1466       0.7996     0.3888     0.6112     0.2223     0.2971
m           0.7996    0.3011       0.8046     0.1017     0.8983     0.7966     0.8146
n           0.7996    0.3011       0.8056     0.2343     0.7657     0.5315     0.5593
o           0.7996    0.3011       0.7996     0.2403     0.7597     0.5194     0.5852
p           0.7996    0.3011       1.0000     0.2394     0.7606     0.5211     0.5553
q           0.7996    0.3011       0.9611     0.2423     0.7577     0.5155     0.6082
r           0.7996    0.3011       0.7996     0.3001     0.6999     0.3998     0.3968
s           0.7996    0.3011       0.7996     0.2473     0.7527     0.5055     0.5633
t           0.7996    0.2223       0.7996     0.3209     0.6791     0.3583     0.3619
u           0.7996    0.3011       0.7996     0.2453     0.7547     0.5095     0.5474
v           0.7996    0.2772       0.8016     0.2198     0.7802     0.5603     0.6052
w           0.7996    0.2722       0.7998     0.0793     0.9207     0.8415     0.8833
x           0.7996    0.2881       0.8950     0.2093     0.7907     0.5815     0.5484
y           0.7996    0.2653       0.9332     0.2373     0.7627     0.5253     0.5882
z           0.7996    0.3011       0.9801     0.1989     0.8011     0.6022     0.5693
{           0.7996    0.0518       0.7996     0.2897     0.7103     0.4206     0.5184
|           0.7996    0.1016       0.8038     0.4593     0.5407     0.0814     0.1944
}           0.7996    0.0518       0.7996     0.2897     0.7103     0.4206     0.5184
~           0.7996    0.3430       0.5553     0.2642     0.7358     0.4716     0.5643
¡           0.7996    0.1454       0.8009     0.4262     0.5738     0.1476     0.2493
¢           0.7996    0.1515       0.9482     0.2951     0.7049     0.4098     0.4766
£           0.7996    0.1017       0.8017     0.1413     0.8587     0.7173     0.7478
¤           0.7996    0.4177       0.7996     0.3086     0.6914     0.3829     0.4526
¥           0.7996    0.1017       0.7996     0.2387     0.7613     0.5225     0.5573
¦           0.7996    0.1017       0.7996     0.4596     0.5404     0.0808     0.1944
§           0.7996    0.0040       0.8016     0.2961     0.7039     0.4078     0.4796
¨           0.7996    0.1463       0.2632     0.2906     0.7094     0.4187     0.4217
©           0.7996    0.1027       0.6441     0.2288     0.7712     0.5424     0.6102
ª           0.7996    0.3031       0.6251     0.3998     0.6002     0.2004     0.2502
«           0.7996    0.5384       0.7886     0.2348     0.7652     0.5304     0.6002
¬           0.7996    0.5344       0.6251     0.3958     0.6042     0.2084     0.3230
®           0.7996    0.0060       0.4397     0.2832     0.7168     0.4337     0.5035
¯           0.7996    0.1899       0.2528     0.2604     0.7396     0.4793     0.4736
°           0.7996    0.1037       0.3190     0.3883     0.6117     0.2233     0.3170
±           0.7996    0.1486       0.7341     0.2739     0.7261     0.4521     0.5085
²           0.7996    0.1017       0.4297     0.3910     0.6090     0.2180     0.5274
³           0.7996    0.1017       0.4297     0.3948     0.6052     0.2104     0.2463
´           0.7996    0.1765       0.2682     0.3494     0.6506     0.3012     0.3390
µ           0.7996    0.4387       0.9382     0.3569     0.6431     0.2861     0.3629
¶           0.7996    0.1017       0.7996     0.2448     0.7552     0.5105     0.6092
·           0.7996    0.3908       0.5105     0.4063     0.5937     0.1874     0.2841
¸           0.7996    0.7970       0.9432     0.4497     0.5503     0.1007     0.1815
¹           0.7996    0.1021       0.4335     0.4541     0.5459     0.0917     0.2921
º           0.7996    0.3021       0.6251     0.3669     0.6331     0.2662     0.3200
»           0.7996    0.5384       0.7886     0.2348     0.7652     0.5304     0.5922
¼           0.7996    0.1021       0.7996     0.3410     0.6590     0.3180     0.3569
½           0.7996    0.1021       0.7996     0.3639     0.6361     0.2722     0.2921
¾           0.7996    0.1017       0.7996     0.3410     0.6590     0.3180     0.3649
¿           0.7996    0.0987       0.7996     0.3594     0.6406     0.2812     0.3470
À           0.7996    0.0090       0.8016     0.1603     0.8397     0.6793     0.6979
Á           0.7996    0.0010       0.8016     0.1603     0.8397     0.6793     0.6979
